source,date,count
ABAR01,07/06/23,1678
ABAR01,08/06/23,1639
ABAR01,09/06/23,1563
ABAR01,11/06/23,1238
ABAR01,13/06/23,1893
ABAR01,14/06/23,505
ABAR01,15/06/23,1579
ABAR01,16/06/23,1600
ABAR01,18/06/23,829
ABAR01,20/06/23,1789
ABAR01,21/06/23,1429
ABAR01,22/06/23,1592
ABAR01,23/06/23,1656
ABAR01,24/06/23,482
ABAR01,27/06/23,2136
ABAR01,28/06/23,2203
ABAR01,29/06/23,2538
ABAR01,30/06/23,1697
ABAR01,01/07/23,1555
ABAR01,02/07/23,1416
ABAR01,05/07/23,1786
ABAR01,06/07/23,825
ABAR01,07/07/23,1649
ABAR01,09/07/23,1558
ABAR01,11/07/23,1776
ABAR01,12/07/23,1603
ABAR01,13/07/23,1642
ABAR01,14/07/23,1600
ABAR01,16/07/23,1089
ABAR01,18/07/23,1796
ABAR01,19/07/23,1662
ABAR01,20/07/23,1602
ABAR01,21/07/23,1630
ABAR01,22/07/23,1569
ABAR01,25/07/23,1782
ABAR01,26/07/23,1323
ABAR01,27/07/23,2537
ABAR01,28/07/23,1670
ABAR01,30/07/23,1562
ABAR01,01/08/23,1764
ABAR01,02/08/23,1981
ABAR01,03/08/23,1860
ABAR01,04/08/23,1570
ABAR01,06/08/23,729
ABAR01,08/08/23,1779
ABAR01,09/08/23,1577
ABAR01,10/08/23,1646
ABAR01,11/08/23,1602
ABAR01,12/08/23,475
ABAR01,15/08/23,1778
ABAR01,16/08/23,1574
ABAR01,17/08/23,1584
ABAR01,18/08/23,1588
ABAR01,19/08/23,1585
ABAR01,22/08/23,1822
ABAR01,23/08/23,1447
ABAR01,24/08/23,1655
ABAR01,25/08/23,2550
ABAR01,27/08/23,1555
ABAR01,29/08/23,1768
ABAR01,30/08/23,1434
ABAR01,31/08/23,1694
ABAR01,01/09/23,1996
ABAR01,02/09/23,568
ABAR01,05/09/23,1575
ABAR01,06/09/23,848
ABAR01,07/09/23,1601
ACCTRECV,01/01/21,13
ACCTRECV,02/01/21,11
ACCTRECV,03/01/21,9
ACCTRECV,04/01/21,11
ACCTRECV,05/01/21,9
ACCTRECV,06/01/21,13
ACCTRECV,07/01/21,11
ACCTRECV,08/01/21,11
ACCTRECV,09/01/21,11
ACCTRECV,10/01/21,11
ACCTRECV,11/01/21,11
ACCTRECV,12/01/21,9
ACCTRECV,13/01/21,11
ACCTRECV,14/01/21,11
ACCTRECV,15/01/21,13
ACCTRECV,16/01/21,11
ACCTRECV,17/01/21,11
ACCTRECV,18/01/21,9
ACCTRECV,19/01/21,9
ACCTRECV,20/01/21,11
ACCTRECV,21/01/21,11
ACCTRECV,22/01/21,13
ACCTRECV,23/01/21,11
ACCTRECV,24/01/21,13
ACCTRECV,25/01/21,9
ACCTRECV,26/01/21,9
ACCTRECV,27/01/21,11
ACCTRECV,28/01/21,11
ACCTRECV,29/01/21,13
ACCTRECV,30/01/21,9
ACCTRECV,31/01/21,11
ACCTRECV,01/02/21,13
ACCTRECV,02/02/21,9
ACCTRECV,03/02/21,11
ACCTRECV,04/02/21,11
ACCTRECV,05/02/21,13
ACCTRECV,06/02/21,11
ACCTRECV,07/02/21,11
ACCTRECV,08/02/21,11
ACCTRECV,09/02/21,11
ACCTRECV,10/02/21,11
ACCTRECV,11/02/21,11
ACCTRECV,12/02/21,13
ACCTRECV,13/02/21,11
ACCTRECV,14/02/21,11
ACCTRECV,15/02/21,11
ACCTRECV,16/02/21,9
ACCTRECV,17/02/21,11
ACCTRECV,18/02/21,11
ACCTRECV,19/02/21,13
ACCTRECV,20/02/21,11
ACCTRECV,21/02/21,11
ACCTRECV,22/02/21,11
ACCTRECV,23/02/21,9
ACCTRECV,24/02/21,11
ACCTRECV,25/02/21,11
ACCTRECV,26/02/21,13
ACCTRECV,27/02/21,11
ACCTRECV,28/02/21,11
ACCTRECV,01/03/21,9
ACCTRECV,02/03/21,9
ACCTRECV,03/03/21,13
ACCTRECV,04/03/21,11
ACCTRECV,05/03/21,13
ACCTRECV,06/03/21,11
ACCTRECV,07/03/21,11
ACCTRECV,08/03/21,11
ACCTRECV,09/03/21,9
ACCTRECV,10/03/21,11
ACCTRECV,11/03/21,11
ACCTRECV,12/03/21,13
ACCTRECV,13/03/21,11
ACCTRECV,14/03/21,11
ACCTRECV,15/03/21,11
ACCTRECV,16/03/21,9
ACCTRECV,17/03/21,9
ACCTRECV,18/03/21,13
ACCTRECV,19/03/21,13
ACCTRECV,20/03/21,13
ACCTRECV,21/03/21,13
ACCTRECV,22/03/21,11
ACCTRECV,23/03/21,9
ACCTRECV,24/03/21,13
ACCTRECV,25/03/21,11
ACCTRECV,26/03/21,13
ACCTRECV,27/03/21,13
ACCTRECV,28/03/21,11
ACCTRECV,29/03/21,11
ACCTRECV,30/03/21,9
ACCTRECV,31/03/21,13
ACCTRECV,01/04/21,13
ACCTRECV,02/04/21,13
ACCTRECV,03/04/21,9
ACCTRECV,04/04/21,9
ACCTRECV,05/04/21,11
ACCTRECV,06/04/21,9
ACCTRECV,07/04/21,13
ACCTRECV,08/04/21,11
ACCTRECV,09/04/21,13
ACCTRECV,10/04/21,13
ACCTRECV,11/04/21,11
ACCTRECV,12/04/21,9
ACCTRECV,13/04/21,11
ACCTRECV,14/04/21,13
ACCTRECV,15/04/21,9
ACCTRECV,16/04/21,13
ACCTRECV,19/04/21,31
ACCTRECV,20/04/21,9
ACCTRECV,21/04/21,13
ACCTRECV,22/04/21,11
ACCTRECV,23/04/21,13
ACCTRECV,24/04/21,11
ACCTRECV,25/04/21,13
ACCTRECV,26/04/21,11
ACCTRECV,27/04/21,9
ACCTRECV,28/04/21,13
ACCTRECV,29/04/21,11
ACCTRECV,30/04/21,13
ACCTRECV,01/05/21,11
ACCTRECV,02/05/21,11
ACCTRECV,03/05/21,11
ACCTRECV,04/05/21,9
ACCTRECV,05/05/21,13
ACCTRECV,06/05/21,13
ACCTRECV,07/05/21,13
ACCTRECV,08/05/21,11
ACCTRECV,09/05/21,11
ACCTRECV,10/05/21,11
ACCTRECV,11/05/21,9
ACCTRECV,12/05/21,11
ACCTRECV,13/05/21,11
ACCTRECV,14/05/21,13
ACCTRECV,15/05/21,11
ACCTRECV,16/05/21,11
ACCTRECV,17/05/21,11
ACCTRECV,18/05/21,9
ACCTRECV,19/05/21,11
ACCTRECV,20/05/21,11
ACCTRECV,21/05/21,13
ACCTRECV,22/05/21,11
ACCTRECV,23/05/21,11
ACCTRECV,24/05/21,11
ACCTRECV,25/05/21,9
ACCTRECV,26/05/21,11
ACCTRECV,27/05/21,11
ACCTRECV,28/05/21,13
ACCTRECV,29/05/21,11
ACCTRECV,30/05/21,11
ACCTRECV,31/05/21,11
ACCTRECV,01/06/21,9
ACCTRECV,02/06/21,24
ACCTRECV,03/06/21,9
ACCTRECV,04/06/21,13
ACCTRECV,05/06/21,11
ACCTRECV,06/06/21,11
ACCTRECV,07/06/21,11
ACCTRECV,08/06/21,9
ACCTRECV,09/06/21,13
ACCTRECV,10/06/21,9
ACCTRECV,11/06/21,13
ACCTRECV,12/06/21,11
ACCTRECV,13/06/21,11
ACCTRECV,14/06/21,11
ACCTRECV,15/06/21,9
ACCTRECV,16/06/21,11
ACCTRECV,17/06/21,11
ACCTRECV,18/06/21,13
ACCTRECV,19/06/21,13
ACCTRECV,20/06/21,13
ACCTRECV,21/06/21,11
ACCTRECV,22/06/21,11
ACCTRECV,23/06/21,11
ACCTRECV,24/06/21,11
ACCTRECV,25/06/21,13
ACCTRECV,26/06/21,13
ACCTRECV,27/06/21,11
ACCTRECV,28/06/21,11
ACCTRECV,29/06/21,9
ACCTRECV,30/06/21,13
ACCTRECV,01/07/21,11
ACCTRECV,02/07/21,13
ACCTRECV,03/07/21,13
ACCTRECV,04/07/21,13
ACCTRECV,05/07/21,11
ACCTRECV,06/07/21,11
ACCTRECV,07/07/21,13
ACCTRECV,08/07/21,13
ACCTRECV,09/07/21,13
ACCTRECV,10/07/21,13
ACCTRECV,12/07/21,22
ACCTRECV,13/07/21,9
ACCTRECV,14/07/21,11
ACCTRECV,15/07/21,9
ACCTRECV,16/07/21,13
ACCTRECV,17/07/21,13
ACCTRECV,18/07/21,11
ACCTRECV,19/07/21,11
ACCTRECV,20/07/21,11
ACCTRECV,21/07/21,11
ACCTRECV,22/07/21,11
ACCTRECV,23/07/21,11
ACCTRECV,24/07/21,9
ACCTRECV,25/07/21,13
ACCTRECV,26/07/21,9
ACCTRECV,27/07/21,11
ACCTRECV,28/07/21,11
ACCTRECV,29/07/21,13
ACCTRECV,30/07/21,11
ACCTRECV,31/07/21,11
ACCTRECV,01/08/21,11
ACCTRECV,02/08/21,9
ACCTRECV,03/08/21,9
ACCTRECV,04/08/21,9
ACCTRECV,05/08/21,11
ACCTRECV,06/08/21,13
ACCTRECV,07/08/21,11
ACCTRECV,08/08/21,11
ACCTRECV,09/08/21,9
ACCTRECV,10/08/21,9
ACCTRECV,11/08/21,11
ACCTRECV,12/08/21,13
ACCTRECV,13/08/21,13
ACCTRECV,15/08/21,24
ACCTRECV,16/08/21,11
ACCTRECV,17/08/21,9
ACCTRECV,18/08/21,13
ACCTRECV,19/08/21,13
ACCTRECV,20/08/21,13
ACCTRECV,21/08/21,11
ACCTRECV,22/08/21,11
ACCTRECV,23/08/21,11
ACCTRECV,24/08/21,11
ACCTRECV,25/08/21,13
ACCTRECV,26/08/21,11
ACCTRECV,27/08/21,13
ACCTRECV,28/08/21,13
ACCTRECV,29/08/21,13
ACCTRECV,30/08/21,9
ACCTRECV,31/08/21,11
ACCTRECV,01/09/21,11
ACCTRECV,02/09/21,11
ACCTRECV,03/09/21,11
ACCTRECV,04/09/21,13
ACCTRECV,05/09/21,11
ACCTRECV,06/09/21,9
ACCTRECV,07/09/21,9
ACCTRECV,08/09/21,11
ACCTRECV,09/09/21,13
ACCTRECV,10/09/21,13
ACCTRECV,11/09/21,11
ACCTRECV,12/09/21,11
ACCTRECV,13/09/21,9
ACCTRECV,14/09/21,11
ACCTRECV,15/09/21,13
ACCTRECV,16/09/21,9
ACCTRECV,17/09/21,13
ACCTRECV,19/09/21,22
ACCTRECV,20/09/21,9
ACCTRECV,21/09/21,9
ACCTRECV,22/09/21,13
ACCTRECV,23/09/21,11
ACCTRECV,24/09/21,13
ACCTRECV,25/09/21,13
ACCTRECV,26/09/21,11
ACCTRECV,27/09/21,11
ACCTRECV,28/09/21,9
ACCTRECV,29/09/21,11
ACCTRECV,30/09/21,9
ACCTRECV,01/10/21,13
ACCTRECV,02/10/21,11
ACCTRECV,03/10/21,11
ACCTRECV,04/10/21,9
ACCTRECV,05/10/21,9
ACCTRECV,06/10/21,9
ACCTRECV,07/10/21,9
ACCTRECV,08/10/21,13
ACCTRECV,09/10/21,11
ACCTRECV,10/10/21,11
ACCTRECV,11/10/21,11
ACCTRECV,12/10/21,11
ACCTRECV,13/10/21,11
ACCTRECV,14/10/21,9
ACCTRECV,15/10/21,13
ACCTRECV,16/10/21,11
ACCTRECV,17/10/21,11
ACCTRECV,18/10/21,9
ACCTRECV,19/10/21,9
ACCTRECV,20/10/21,11
ACCTRECV,21/10/21,11
ACCTRECV,22/10/21,13
ACCTRECV,23/10/21,11
ACCTRECV,24/10/21,11
ACCTRECV,25/10/21,11
ACCTRECV,26/10/21,9
ACCTRECV,27/10/21,11
ACCTRECV,28/10/21,13
ACCTRECV,29/10/21,13
ACCTRECV,30/10/21,13
ACCTRECV,31/10/21,11
ACCTRECV,01/11/21,11
ACCTRECV,02/11/21,11
ACCTRECV,03/11/21,11
ACCTRECV,04/11/21,13
ACCTRECV,05/11/21,13
ACCTRECV,06/11/21,13
ACCTRECV,07/11/21,20
ACCTRECV,08/11/21,9
ACCTRECV,09/11/21,9
ACCTRECV,10/11/21,5
ACCTRECV,11/11/21,17
ACCTRECV,12/11/21,13
ACCTRECV,13/11/21,11
ACCTRECV,14/11/21,11
ACCTRECV,15/11/21,11
ACCTRECV,16/11/21,9
ACCTRECV,17/11/21,11
ACCTRECV,18/11/21,9
ACCTRECV,19/11/21,11
ACCTRECV,20/11/21,11
ACCTRECV,21/11/21,11
ACCTRECV,22/11/21,11
ACCTRECV,23/11/21,9
ACCTRECV,24/11/21,11
ACCTRECV,25/11/21,11
ACCTRECV,26/11/21,11
ACCTRECV,27/11/21,9
ACCTRECV,28/11/21,9
ACCTRECV,29/11/21,11
ACCTRECV,30/11/21,9
ACCTRECV,01/12/21,11
ACCTRECV,02/12/21,13
ACCTRECV,03/12/21,13
ACCTRECV,04/12/21,11
ACCTRECV,05/12/21,11
ACCTRECV,06/12/21,11
ACCTRECV,07/12/21,9
ACCTRECV,08/12/21,11
ACCTRECV,09/12/21,11
ACCTRECV,10/12/21,13
ACCTRECV,11/12/21,13
ACCTRECV,12/12/21,13
ACCTRECV,13/12/21,9
ACCTRECV,14/12/21,11
ACCTRECV,15/12/21,11
ACCTRECV,16/12/21,11
ACCTRECV,17/12/21,13
ACCTRECV,18/12/21,13
ACCTRECV,20/12/21,20
ACCTRECV,21/12/21,9
ACCTRECV,22/12/21,13
ACCTRECV,23/12/21,11
ACCTRECV,24/12/21,13
ACCTRECV,25/12/21,13
ACCTRECV,26/12/21,11
ACCTRECV,27/12/21,15
ACCTRECV,28/12/21,11
ACCTRECV,29/12/21,11
ACCTRECV,30/12/21,9
ACCTRECV,31/12/21,13
ACCTRECV,01/01/22,13
ACCTRECV,02/01/22,9
ACCTRECV,03/01/22,9
ACCTRECV,04/01/22,13
ACCTRECV,05/01/22,13
ACCTRECV,06/01/22,9
ACCTRECV,07/01/22,11
ACCTRECV,08/01/22,9
ACCTRECV,09/01/22,11
ACCTRECV,10/01/22,9
ACCTRECV,11/01/22,11
ACCTRECV,12/01/22,11
ACCTRECV,13/01/22,11
ACCTRECV,14/01/22,13
ACCTRECV,15/01/22,13
ACCTRECV,16/01/22,11
ACCTRECV,17/01/22,9
